sourceId,date,category,amount,status,description
"INV-2025-046","2025-10-09","Servicios","3137","pendiente","Prestación de servicio"
"INV-2025-047","2025-11-12","Gastos","2512","activo","Pago de gasto operativo"
"INV-2025-048","2025-03-08","Inventario","3309","pendiente","Compra de stock"
"INV-2025-049","2025-03-11","Gastos","266","cancelado","Pago de gasto operativo"
"INV-2025-050","2025-06-27","Inventario","3859","cancelado","Compra de stock"
"INV-2025-051","2025-01-21","Gastos","1181","activo","Pago de gasto operativo"
"INV-2025-052","2025-07-05","Gastos","3269","pendiente","Pago de gasto operativo"
"INV-2025-053","2025-01-04","Servicios","724","completado","Prestación de servicio"
"INV-2025-054","2025-10-02","Inventario","2800","completado","Compra de stock"
"INV-2025-055","2025-01-27","Ventas","1329","cancelado","Venta de producto comercial"
"INV-2025-056","2025-07-07","Gastos","2680","cancelado","Pago de gasto operativo"
"INV-2025-057","2025-03-22","Inventario","4795","pendiente","Compra de stock"
"INV-2025-058","2025-11-28","Inventario","3845","cancelado","Compra de stock"
"INV-2025-059","2025-03-20","Ventas","2862","activo","Venta de producto comercial"
"INV-2025-060","2025-01-16","Servicios","4738","cancelado","Prestación de servicio"
"INV-2025-061","2025-04-12","Ventas","1030","pendiente","Venta de producto comercial"
"INV-2025-062","2025-11-10","Gastos","4890","pendiente","Pago de gasto operativo"
"INV-2025-063","2025-06-20","Gastos","615","completado","Pago de gasto operativo"
"INV-2025-064","2025-05-15","Ventas","2603","cancelado","Venta de producto comercial"
"INV-2025-065","2025-01-28","Ventas","3254","activo","Venta de producto comercial"
"INV-2025-066","2025-08-08","Inventario","3386","cancelado","Compra de stock"
"INV-2025-067","2025-06-18","Ventas","1286","completado","Venta de producto comercial"
"INV-2025-068","2025-10-10","Ventas","1345","activo","Venta de producto comercial"
"INV-2025-069","2025-05-10","Gastos","1184","cancelado","Pago de gasto operativo"
"INV-2025-070","2025-05-16","Ventas","895","pendiente","Venta de producto comercial"
"INV-2025-071","2025-03-27","Gastos","1982","activo","Pago de gasto operativo"
"INV-2025-072","2025-06-04","Servicios","168","cancelado","Prestación de servicio"
"INV-2025-073","2025-11-12","Gastos","4762","cancelado","Pago de gasto operativo"
"INV-2025-074","2025-11-28","Gastos","1447","activo","Pago de gasto operativo"
"INV-2025-075","2025-01-03","Ventas","1034","activo","Venta de producto comercial"
"INV-2025-076","2025-11-06","Servicios","4498","pendiente","Prestación de servicio"
"INV-2025-077","2025-04-18","Servicios","4955","pendiente","Prestación de servicio"
"INV-2025-078","2025-05-27","Ventas","2505","pendiente","Venta de producto comercial"
"INV-2025-079","2025-10-19","Gastos","1647","pendiente","Pago de gasto operativo"
"INV-2025-080","2025-10-26","Inventario","1000","cancelado","Compra de stock"
"INV-2025-081","2025-05-02","Servicios","1278","cancelado","Prestación de servicio"
"INV-2025-082","2025-06-21","Ventas","1193","completado","Venta de producto comercial"
"INV-2025-083","2025-07-18","Ventas","2595","cancelado","Venta de producto comercial"
"INV-2025-084","2025-05-21","Servicios","2905","pendiente","Prestación de servicio"
"INV-2025-085","2025-06-02","Servicios","2092","activo","Prestación de servicio"
"INV-2025-086","2025-01-02","Gastos","4007","cancelado","Pago de gasto operativo"
"INV-2025-087","2025-07-23","Servicios","3159","cancelado","Prestación de servicio"
"INV-2025-088","2025-06-03","Inventario","738","completado","Compra de stock"
"INV-2025-089","2025-08-09","Servicios","3832","cancelado","Prestación de servicio"
"INV-2025-090","2025-06-03","Gastos","4632","pendiente","Pago de gasto operativo"
"INV-2025-091","2025-09-23","Ventas","1478","cancelado","Venta de producto comercial"
"INV-2025-092","2025-04-02","Servicios","4263","activo","Prestación de servicio"
"INV-2025-093","2025-04-29","Ventas","352","pendiente","Venta de producto comercial"
"INV-2025-094","2025-06-10","Ventas","1716","activo","Venta de producto comercial"
"INV-2025-095","2025-11-22","Gastos","757","activo","Pago de gasto operativo"
"INV-2025-096","2025-09-30","Inventario","4441","pendiente","Compra de stock"
"INV-2025-097","2025-10-15","Gastos","4568","pendiente","Pago de gasto operativo"
"INV-2025-098","2025-04-29","Gastos","984","completado","Pago de gasto operativo"
"INV-2025-099","2025-04-26","Ventas","4370","completado","Venta de producto comercial"
"INV-2025-100","2025-09-13","Ventas","367","activo","Venta de producto comercial"
"INV-2025-101","2025-07-19","Ventas","2567","cancelado","Venta de producto comercial"
"INV-2025-102","2025-07-30","Gastos","2885","completado","Pago de gasto operativo"
"INV-2025-103","2025-02-19","Inventario","3068","pendiente","Compra de stock"
"INV-2025-104","2025-02-11","Gastos","3465","completado","Pago de gasto operativo"
"INV-2025-105","2025-11-08","Ventas","1440","pendiente","Venta de producto comercial"
"INV-2025-106","2025-05-09","Ventas","3020","pendiente","Venta de producto comercial"
"INV-2025-107","2025-02-06","Servicios","3974","pendiente","Prestación de servicio"
"INV-2025-108","2025-09-25","Ventas","2158","completado","Venta de producto comercial"
"INV-2025-109","2025-04-16","Gastos","319","cancelado","Pago de gasto operativo"
"INV-2025-110","2025-09-10","Servicios","2082","activo","Prestación de servicio"
"INV-2025-111","2025-01-03","Inventario","4498","pendiente","Compra de stock"
"INV-2025-112","2025-08-09","Ventas","3396","activo","Venta de producto comercial"
"INV-2025-113","2025-10-06","Ventas","292","activo","Venta de producto comercial"
"INV-2025-114","2025-02-04","Ventas","4641","completado","Venta de producto comercial"
"INV-2025-115","2025-01-15","Servicios","2213","completado","Prestación de servicio"
"INV-2025-116","2025-09-07","Inventario","1413","completado","Compra de stock"
"INV-2025-117","2025-09-08","Inventario","854","pendiente","Compra de stock"
"INV-2025-118","2025-10-03","Inventario","3548","pendiente","Compra de stock"
"INV-2025-119","2025-05-07","Inventario","3529","activo","Compra de stock"
"INV-2025-120","2025-03-17","Gastos","2462","cancelado","Pago de gasto operativo"
"INV-2025-121","2025-07-30","Gastos","2044","activo","Pago de gasto operativo"
"INV-2025-122","2025-10-31","Inventario","4384","activo","Compra de stock"
"INV-2025-123","2025-10-19","Ventas","2913","completado","Venta de producto comercial"
"INV-2025-124","2025-05-18","Gastos","3404","pendiente","Pago de gasto operativo"
"INV-2025-125","2025-10-09","Servicios","2886","cancelado","Prestación de servicio"
"INV-2025-126","2025-01-24","Ventas","1164","pendiente","Venta de producto comercial"
"INV-2025-127","2025-01-28","Ventas","2086","completado","Venta de producto comercial"
"INV-2025-128","2025-07-01","Servicios","2090","cancelado","Prestación de servicio"
"INV-2025-129","2025-08-29","Inventario","4185","cancelado","Compra de stock"
"INV-2025-130","2025-04-25","Inventario","3914","cancelado","Compra de stock"
"INV-2025-131","2025-08-29","Ventas","4828","activo","Venta de producto comercial"
"INV-2025-132","2025-04-07","Servicios","2202","activo","Prestación de servicio"
"INV-2025-133","2025-06-23","Ventas","2968","activo","Venta de producto comercial"
"INV-2025-134","2025-04-18","Servicios","1751","cancelado","Prestación de servicio"
"INV-2025-135","2025-07-09","Ventas","4495","cancelado","Venta de producto comercial"
"INV-2025-136","2025-11-17","Gastos","2707","cancelado","Pago de gasto operativo"
"INV-2025-137","2025-04-26","Servicios","403","completado","Prestación de servicio"
"INV-2025-138","2025-09-13","Inventario","2033","cancelado","Compra de stock"
"INV-2025-139","2025-10-28","Servicios","3263","cancelado","Prestación de servicio"
"INV-2025-140","2025-01-09","Gastos","2829","activo","Pago de gasto operativo"
"INV-2025-141","2025-08-12","Servicios","4565","activo","Prestación de servicio"
"INV-2025-142","2025-04-05","Servicios","4476","cancelado","Prestación de servicio"
"INV-2025-143","2025-09-24","Servicios","107","activo","Prestación de servicio"
"INV-2025-144","2025-08-28","Servicios","2412","cancelado","Prestación de servicio"
"INV-2025-145","2025-07-26","Inventario","1584","activo","Compra de stock"
"INV-2025-146","2025-01-29","Gastos","1084","completado","Pago de gasto operativo"
"INV-2025-147","2025-07-01","Ventas","2313","activo","Venta de producto comercial"
"INV-2025-148","2025-09-02","Gastos","4057","pendiente","Pago de gasto operativo"
"INV-2025-149","2025-08-07","Ventas","2880","cancelado","Venta de producto comercial"
"INV-2025-150","2025-08-15","Ventas","1509","completado","Venta de producto comercial"
"INV-2025-151","2025-02-23","Servicios","134","activo","Prestación de servicio"
"INV-2025-152","2025-07-11","Inventario","4370","pendiente","Compra de stock"
"INV-2025-153","2025-08-18","Inventario","2578","pendiente","Compra de stock"
"INV-2025-154","2025-05-01","Gastos","4723","completado","Pago de gasto operativo"
"INV-2025-155","2025-07-13","Servicios","4469","cancelado","Prestación de servicio"
"INV-2025-156","2025-02-25","Ventas","2218","pendiente","Venta de producto comercial"
"INV-2025-157","2025-01-01","Ventas","1106","pendiente","Venta de producto comercial"
"INV-2025-158","2025-06-27","Gastos","1828","cancelado","Pago de gasto operativo"
"INV-2025-159","2025-02-23","Ventas","1293","completado","Venta de producto comercial"
"INV-2025-160","2025-07-02","Gastos","2714","completado","Pago de gasto operativo"
"INV-2025-161","2025-09-23","Servicios","3540","completado","Prestación de servicio"
"INV-2025-162","2025-04-04","Servicios","3082","completado","Prestación de servicio"
"INV-2025-163","2025-10-17","Ventas","3261","pendiente","Venta de producto comercial"
"INV-2025-164","2025-08-27","Gastos","4015","completado","Pago de gasto operativo"
"INV-2025-165","2025-04-10","Gastos","3836","activo","Pago de gasto operativo"
"INV-2025-166","2025-09-09","Inventario","1917","completado","Compra de stock"
"INV-2025-167","2025-08-21","Gastos","1689","completado","Pago de gasto operativo"
"INV-2025-168","2025-07-22","Servicios","4650","completado","Prestación de servicio"
"INV-2025-169","2025-11-21","Inventario","1213","activo","Compra de stock"
"INV-2025-170","2025-08-15","Inventario","1706","cancelado","Compra de stock"
"INV-2025-171","2025-11-18","Ventas","3216","activo","Venta de producto comercial"
"INV-2025-172","2025-11-15","Inventario","1609","pendiente","Compra de stock"
"INV-2025-173","2025-11-11","Gastos","3920","pendiente","Pago de gasto operativo"
"INV-2025-174","2025-10-21","Ventas","3376","activo","Venta de producto comercial"
"INV-2025-175","2025-01-05","Gastos","4128","cancelado","Pago de gasto operativo"
"INV-2025-176","2025-08-09","Inventario","929","activo","Compra de stock"
"INV-2025-177","2025-03-23","Ventas","3820","pendiente","Venta de producto comercial"
"INV-2025-178","2025-04-01","Servicios","3915","pendiente","Prestación de servicio"
"INV-2025-179","2025-11-04","Gastos","3495","pendiente","Pago de gasto operativo"
"INV-2025-180","2025-04-22","Servicios","1905","completado","Prestación de servicio"
"INV-2025-181","2025-02-22","Inventario","4302","completado","Compra de stock"
"INV-2025-182","2025-03-03","Gastos","4480","activo","Pago de gasto operativo"
"INV-2025-183","2025-04-14","Servicios","3166","cancelado","Prestación de servicio"
"INV-2025-184","2025-02-14","Ventas","2172","cancelado","Venta de producto comercial"
"INV-2025-185","2025-10-07","Inventario","1746","cancelado","Compra de stock"
"INV-2025-186","2025-04-27","Gastos","4867","cancelado","Pago de gasto operativo"
"INV-2025-187","2025-05-03","Inventario","4902","completado","Compra de stock"
"INV-2025-188","2025-08-16","Gastos","4803","completado","Pago de gasto operativo"
"INV-2025-189","2025-05-06","Inventario","1679","cancelado","Compra de stock"
"INV-2025-190","2025-09-14","Servicios","1078","activo","Prestación de servicio"
"INV-2025-191","2025-01-30","Gastos","4236","cancelado","Pago de gasto operativo"
"INV-2025-192","2025-02-06","Inventario","3573","completado","Compra de stock"
"INV-2025-193","2025-04-13","Gastos","1214","completado","Pago de gasto operativo"
"INV-2025-194","2025-04-26","Servicios","1603","cancelado","Prestación de servicio"
"INV-2025-195","2025-04-27","Servicios","3901","pendiente","Prestación de servicio"
"INV-2025-196","2025-03-09","Inventario","4877","pendiente","Compra de stock"
"INV-2025-197","2025-01-06","Servicios","2093","activo","Prestación de servicio"
"INV-2025-198","2025-08-01","Ventas","3073","activo","Venta de producto comercial"
"INV-2025-199","2025-04-20","Gastos","2139","activo","Pago de gasto operativo"
"INV-2025-200","2025-10-17","Servicios","3643","cancelado","Prestación de servicio"
"INV-2025-201","2025-01-26","Gastos","3944","completado","Pago de gasto operativo"
"INV-2025-202","2025-05-26","Servicios","3699","completado","Prestación de servicio"
"INV-2025-203","2025-09-17","Ventas","4588","pendiente","Venta de producto comercial"
"INV-2025-204","2025-02-28","Servicios","483","cancelado","Prestación de servicio"
"INV-2025-205","2025-10-25","Inventario","1744","cancelado","Compra de stock"
"INV-2025-206","2025-01-12","Ventas","4854","completado","Venta de producto comercial"
"INV-2025-207","2025-08-30","Ventas","4950","cancelado","Venta de producto comercial"
"INV-2025-208","2025-06-22","Gastos","804","pendiente","Pago de gasto operativo"
"INV-2025-209","2025-06-04","Inventario","805","cancelado","Compra de stock"
"INV-2025-210","2025-01-21","Gastos","4216","activo","Pago de gasto operativo"
"INV-2025-211","2025-10-01","Ventas","4427","completado","Venta de producto comercial"
"INV-2025-212","2025-09-28","Gastos","1536","activo","Pago de gasto operativo"
"INV-2025-213","2025-05-08","Servicios","3318","cancelado","Prestación de servicio"
"INV-2025-214","2025-06-04","Servicios","2843","cancelado","Prestación de servicio"
"INV-2025-215","2025-01-11","Ventas","4045","pendiente","Venta de producto comercial"
"INV-2025-216","2025-01-18","Inventario","4203","pendiente","Compra de stock"
"INV-2025-217","2025-08-31","Ventas","3858","activo","Venta de producto comercial"
"INV-2025-218","2025-05-13","Ventas","2270","pendiente","Venta de producto comercial"
"INV-2025-219","2025-11-07","Ventas","3539","pendiente","Venta de producto comercial"
"INV-2025-220","2025-03-06","Inventario","4787","pendiente","Compra de stock"
"INV-2025-221","2025-08-26","Ventas","387","pendiente","Venta de producto comercial"
"INV-2025-222","2025-02-25","Servicios","2289","pendiente","Prestación de servicio"
"INV-2025-223","2025-01-25","Gastos","4273","pendiente","Pago de gasto operativo"
"INV-2025-224","2025-06-07","Servicios","2799","activo","Prestación de servicio"
"INV-2025-225","2025-01-21","Servicios","1753","completado","Prestación de servicio"
"INV-2025-226","2025-04-06","Inventario","4598","pendiente","Compra de stock"
"INV-2025-227","2025-09-26","Servicios","400","completado","Prestación de servicio"
"INV-2025-228","2025-08-09","Servicios","1884","completado","Prestación de servicio"
"INV-2025-229","2025-06-06","Gastos","1459","pendiente","Pago de gasto operativo"
"INV-2025-230","2025-02-20","Gastos","2184","activo","Pago de gasto operativo"
"INV-2025-231","2025-09-10","Ventas","1728","pendiente","Venta de producto comercial"
"INV-2025-232","2025-02-08","Inventario","4159","completado","Compra de stock"
"INV-2025-233","2025-09-21","Servicios","1489","activo","Prestación de servicio"
"INV-2025-234","2025-08-24","Gastos","199","completado","Pago de gasto operativo"
"INV-2025-235","2025-05-12","Gastos","4523","pendiente","Pago de gasto operativo"
"INV-2025-236","2025-07-20","Ventas","648","pendiente","Venta de producto comercial"
"INV-2025-237","2025-11-11","Inventario","3904","pendiente","Compra de stock"
"INV-2025-238","2025-01-23","Inventario","1040","pendiente","Compra de stock"
"INV-2025-239","2025-11-09","Servicios","3007","pendiente","Prestación de servicio"
"INV-2025-240","2025-10-19","Servicios","3089","activo","Prestación de servicio"
"INV-2025-241","2025-03-20","Gastos","3935","pendiente","Pago de gasto operativo"
"INV-2025-242","2025-01-11","Inventario","1202","pendiente","Compra de stock"
"INV-2025-243","2025-10-01","Inventario","2453","activo","Compra de stock"
"INV-2025-244","2025-08-18","Gastos","2462","cancelado","Pago de gasto operativo"
"INV-2025-245","2025-06-24","Servicios","2364","pendiente","Prestación de servicio"
"INV-2025-246","2025-10-12","Inventario","3766","completado","Compra de stock"
"INV-2025-247","2025-05-26","Servicios","2268","completado","Prestación de servicio"
"INV-2025-248","2025-01-27","Inventario","4481","pendiente","Compra de stock"
"INV-2025-249","2025-03-13","Ventas","2051","activo","Venta de producto comercial"
"INV-2025-250","2025-02-10","Gastos","2421","pendiente","Pago de gasto operativo"
